cd "C:\Users\nafis\OneDrive\Documents"

@"
Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Property_Area,Loan_Status
LP001002,Male,Yes,0,Graduate,No,5849,0,128,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,Urban,Y
LP001008,Male,No,0,Graduate,No,6000,0,141,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,Urban,Y
LP001013,Male,Yes,0,Graduate,No,2333,1516,95,Urban,Y
LP001014,Male,Yes,3,Graduate,No,3036,2504,158,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,Urban,Y
LP001020,Male,No,0,Graduate,No,12841,10968,349,Semiurban,N
LP001024,Male,Yes,0,Graduate,No,3200,700,70,Urban,Y
LP001027,Male,Yes,0,Graduate,No,3073,8106,200,Urban,N
LP001028,Male,Yes,2,Graduate,No,1853,2840,114,Urban,N
LP001029,Male,No,0,Graduate,No,10000,0,320,Rural,N
LP001030,Male,Yes,0,Graduate,No,8000,0,300,Urban,Y
LP001032,Male,Yes,0,Graduate,No,1000,3022,110,Urban,N
LP001034,Male,Yes,0,Graduate,No,2799,2253,122,Semiurban,Y
LP001036,Male,Yes,0,Not Graduate,No,2600,1000,115,Semiurban,Y
LP001038,Male,Yes,0,Graduate,No,3365,2200,110,Rural,N
LP001039,Male,No,0,Graduate,No,3717,0,120,Semiurban,Y
LP001040,Female,No,0,Graduate,No,5000,0,100,Urban,Y
LP001041,Male,Yes,0,Graduate,No,2066,0,88,Urban,Y
LP001043,Male,Yes,0,Graduate,No,2929,2333,139,Urban,Y
LP001046,Male,Yes,0,Graduate,No,2383,3334,126,Rural,Y
LP001047,Male,Yes,1,Graduate,No,4456,0,121,Rural,Y
LP001050,Female,No,0,Graduate,No,3510,0,76,Urban,N
LP001052,Male,Yes,0,Graduate,No,4887,0,133,Rural,N
LP001053,Male,Yes,2,Graduate,No,7660,0,190,Urban,Y
LP001055,Male,Yes,0,Graduate,No,3200,0,115,Rural,Y
LP001056,Male,No,0,Graduate,No,3675,0,95,Urban,Y
LP001057,Male,Yes,1,Graduate,No,2917,0,84,Semiurban,Y
LP001059,Male,Yes,3,Graduate,No,7100,0,125,Urban,Y
LP001061,Male,Yes,0,Graduate,No,4300,0,120,Urban,Y
LP001065,Male,Yes,0,Graduate,No,3033,1451,95,Urban,Y
LP001066,Male,Yes,0,Graduate,No,3600,0,100,Urban,Y
LP001068,Male,Yes,0,Graduate,No,3846,0,111,Semiurban,Y
LP001073,Male,Yes,0,Graduate,No,12500,3000,320,Rural,N
LP001077,Male,Yes,0,Graduate,No,3200,700,70,Urban,Y
LP001078,Male,Yes,2,Graduate,No,3229,2739,110,Urban,Y
LP001082,Male,Yes,0,Graduate,No,3600,0,120,Urban,Y
LP001086,Male,Yes,1,Graduate,No,2333,1451,102,Semiurban,Y
LP001087,Male,Yes,0,Graduate,No,2550,2042,126,Urban,Y
LP001095,Male,Yes,1,Graduate,No,3510,0,76,Semiurban,N
LP001097,Male,Yes,0,Graduate,No,4887,0,133,Semiurban,N
LP001098,Male,No,0,Graduate,No,15000,0,300,Rural,Y
LP001100,Male,Yes,0,Graduate,No,2583,2358,120,Urban,Y
LP001106,Male,Yes,0,Graduate,No,5417,0,158,Urban,Y
LP001109,Male,Yes,0,Graduate,No,3052,1030,100,Urban,Y
LP001112,Male,Yes,0,Graduate,No,2400,0,75,Semiurban,Y
LP001114,Male,Yes,0,Graduate,No,4000,0,144,Urban,Y
LP001116,Male,Yes,1,Graduate,No,3071,1667,90,Urban,Y
LP001119,Male,Yes,2,Graduate,No,3200,700,105,Rural,Y
LP001120,Male,No,0,Graduate,No,6000,0,140,Urban,Y
LP001123,Male,Yes,0,Graduate,No,3941,2336,134,Semiurban,Y
LP001124,Male,Yes,2,Graduate,No,4695,0,96,Urban,Y
LP001128,Male,Yes,0,Graduate,No,3200,0,70,Rural,Y
LP001129,Male,Yes,1,Graduate,No,2333,3796,122,Semiurban,Y
LP001131,Male,Yes,0,Graduate,No,3417,0,120,Urban,Y
LP001136,Male,Yes,2,Graduate,No,2600,3449,115,Rural,N
LP001137,Male,Yes,0,Graduate,No,3858,0,76,Semiurban,Y
LP001138,Male,Yes,0,Graduate,No,1858,0,77,Urban,Y
LP001144,Male,Yes,0,Graduate,No,3500,0,81,Semiurban,N
LP001146,Male,Yes,0,Graduate,No,2600,0,115,Rural,Y
LP001151,Male,Yes,1,Graduate,No,2764,1459,110,Urban,Y
LP001155,Female,No,0,Graduate,No,3667,0,115,Semiurban,Y
LP001157,Male,Yes,0,Graduate,No,1625,1803,96,Urban,Y
LP001164,Male,Yes,1,Graduate,No,3814,1483,124,Semiurban,Y
LP001165,Male,Yes,0,Graduate,No,5829,0,138,Rural,Y
LP001166,Male,Yes,0,Graduate,No,5636,0,100,Urban,Y
LP001167,Male,Yes,0,Graduate,No,4590,0,100,Urban,Y
LP001175,Male,Yes,0,Graduate,No,3413,4053,120,Semiurban,Y
LP001177,Male,Yes,2,Graduate,No,3917,0,124,Semiurban,Y
LP001178,Male,Yes,0,Graduate,No,4400,0,127,Semiurban,Y
LP001179,Male,No,0,Graduate,No,9504,0,120,Rural,Y
LP001184,Male,Yes,0,Graduate,No,3000,3416,56,Urban,Y
LP001186,Male,Yes,0,Graduate,No,3167,4000,97,Urban,Y
LP001187,Male,Yes,0,Graduate,No,2583,2167,104,Semiurban,Y
LP001190,Male,Yes,0,Graduate,No,4106,0,40,Rural,Y
LP001191,Male,Yes,0,Graduate,No,4881,0,133,Rural,N
LP001192,Male,No,0,Graduate,No,6000,0,141,Urban,Y
LP001198,Male,Yes,0,Graduate,No,3200,0,100,Rural,Y
LP001199,Male,Yes,0,Graduate,No,2492,2375,90,Semiurban,Y
LP001203,Male,Yes,2,Graduate,No,3316,3500,88,Semiurban,Y
LP001206,Male,Yes,1,Graduate,No,3812,0,112,Urban,Y
LP001207,Male,Yes,2,Graduate,No,10000,0,280,Rural,N
LP001208,Male,No,0,Graduate,No,5000,0,100,Urban,Y
LP001209,Male,Yes,0,Graduate,No,2800,0,110,Semiurban,Y
LP001210,Male,Yes,0,Graduate,No,3500,0,120,Urban,Y
LP001211,Male,Yes,0,Graduate,No,3167,0,80,Urban,Y
LP001213,Male,Yes,1,Graduate,No,4300,0,130,Semiurban,Y
LP001214,Male,Yes,0,Graduate,No,3500,0,105,Urban,Y
LP001216,Male,Yes,0,Graduate,No,3748,1668,110,Semiurban,Y
LP001217,Male,Yes,0,Graduate,No,3600,0,100,Urban,Y
LP001222,Male,Yes,0,Graduate,No,4500,0,120,Rural,Y
LP001225,Male,Yes,0,Graduate,No,2768,1950,120,Urban,Y
LP001226,Male,Yes,0,Graduate,No,3358,0,80,Urban,Y
LP001228,Male,Yes,0,Graduate,No,2526,0,145,Rural,Y
LP001229,Male,No,0,Graduate,No,5000,0,100,Semiurban,Y
LP001230,Male,Yes,1,Graduate,No,4735,0,138,Urban,N
LP001232,Male,Yes,0,Graduate,No,2917,0,80,Rural,Y
LP001233,Male,Yes,2,Graduate,No,3500,0,110,Semiurban,Y
LP001238,Male,Yes,2,Graduate,No,6250,0,128,Semiurban,Y
